playerID,stint,G,AB,R,H,1B,2B,3B,AVG,SLG,HR,RBI,OBP,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,Full Name,inducted,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,hits_per_year,runs_per_year,rbis_per_year,hr_per_year
shirlmu01,2,44,100,14,21,16,3,2,0.21,0.28,0,18,0.240384615,0,0,4,14,0,0,7,0,0,Mule Shirley,N,180.0,71.0,2,1,5/6/1924,7/12/1925,shirm101,shirlmu01,10.5,7.0,9.0,0.0
shiveiv01,2,21,68,8,13,10,1,0,0.191176471,0.294117647,2,6,0.225352113,1,0,3,18,0,0,0,0,0,Ivey Shiver,N,190.0,73.0,3,2,4/14/1931,5/13/1934,shivi101,shiveiv01,6.5,4.0,3.0,1.0
shockco01,2,51,142,9,28,23,2,0,0.197183099,0.274647887,3,19,0.25477707,0,0,11,24,0,1,0,3,3,Costen Shockley,N,200.0,74.0,2,1,7/17/1964,6/7/1965,shocc101,shockco01,14.0,4.5,9.5,1.5
shoemch01,3,28,89,12,23,17,4,2,0.258426966,0.348314607,0,4,0.274725275,0,0,2,13,0,0,0,0,1,Charlie Shoemaker,N,155.0,70.0,2,2,9/9/1961,7/26/1964,shoec101,shoemch01,7.666666666666667,4.0,1.3333333333333333,0.0
shofnst01,1,5,13,1,2,1,0,1,0.153846154,0.307692308,0,0,0.153846154,0,0,0,3,0,0,0,0,0,Strick Shofner,N,187.0,70.0,2,2,4/19/1947,4/29/1947,shofs101,shofnst01,2.0,1.0,0.0,0.0
shokeed01,2,32,84,3,10,9,1,0,0.119047619,0.130952381,0,5,0.274509804,1,0,18,22,0,0,3,0,1,Eddie Shokes,N,170.0,72.0,2,1,6/9/1941,9/29/1946,shoke101,shokeed01,5.0,1.5,2.5,0.0
shookra01,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Ray Shook,N,155.0,67.0,3,2,4/16/1916,4/16/1916,shoor102,shookra01,0.0,0.0,0.0,0.0
shoopro01,1,3,7,1,1,1,0,0,0.142857143,0.142857143,0,1,0.142857143,0,0,0,1,0,0,0,0,1,Ron Shoop,N,180.0,71.0,3,2,8/22/1959,9/27/1959,shoor101,shoopro01,1.0,1.0,1.0,0.0
shopato01,7,253,309,40,62,51,7,1,0.200647249,0.258899676,3,20,0.268436578,11,5,26,51,3,0,5,1,5,Tom Shopay,N,160.0,69.0,2,2,9/17/1967,9/30/1977,shopt101,shopato01,8.857142857142858,5.714285714285714,2.857142857142857,0.42857142857142855
shoppke01,13,572,1616,208,361,197,92,2,0.223391089,0.412747525,70,216,0.314704286,1,0,155,624,7,57,19,8,28,Kelly Shoppach,N,220.0,72.0,3,2,5/28/2005,9/12/2013,shopk001,shoppke01,32.81818181818182,18.90909090909091,19.636363636363637,6.363636363636363
shortch01,8,527,1345,161,370,296,51,20,0.275092937,0.349442379,3,134,0.330357143,12,8,110,68,0,1,62,0,0,Chick Shorten,N,175.0,72.0,2,1,9/22/1915,9/24/1924,shorc101,shortch01,46.25,20.125,16.75,0.375
shortda01,2,7,11,1,1,1,0,0,0.090909091,0.090909091,0,0,0.285714286,0,0,3,3,0,0,0,0,0,Dave Short,N,162.0,71.0,2,2,9/16/1940,4/29/1941,shord101,shortda01,0.5,0.5,0.0,0.0
shortri01,1,11,15,4,6,2,2,0,0.4,0.933333333,2,4,0.470588235,0,0,1,1,0,1,0,0,0,Rick Short,N,200.0,72.0,3,2,6/10/2005,9/23/2005,shorr001,shortri01,6.0,4.0,4.0,2.0
shottbu01,14,1387,4945,746,1338,1110,154,65,0.27057634,0.33346815,9,290,0.364964789,293,93,713,380,0,22,62,0,0,Burt Shotton,N,175.0,71.0,2,2,9/13/1909,4/21/1923,shotb101,shottbu01,95.57142857142857,53.285714285714285,20.714285714285715,0.6428571428571429
shoupjo01,3,14,55,7,7,7,0,0,0.127272727,0.127272727,0,1,0.127272727,0,0,0,3,0,0,0,0,0,John Shoup,N,140.0,67.0,2,1,1879-05-03,1884-05-28,shouj101,shoupjo01,2.3333333333333335,2.3333333333333335,0.3333333333333333,0.0
shovljo01,3,18,43,7,9,9,0,0,0.209302326,0.209302326,0,3,0.291666667,0,0,5,3,0,0,2,0,0,John Shovlin,N,163.0,67.0,3,2,6/21/1911,5/12/1920,shovj101,shovljo01,3.0,2.3333333333333335,1.0,0.0
shubage01,7,355,814,106,211,138,45,4,0.259213759,0.412776413,24,125,0.358430541,5,5,120,122,1,6,6,2,19,George Shuba,N,180.0,71.0,2,2,7/2/1948,9/25/1955,shubg101,shubage01,30.142857142857142,15.142857142857142,17.857142857142858,3.4285714285714284
shugafr01,10,745,3014,483,804,593,110,79,0.266755143,0.377571334,22,384,0.322916667,131,0,218,174,0,32,14,0,0,Frank Shugart,N,170.0,68.0,2,2,1890-08-23,9/27/1901,shugf101,shugafr01,89.33333333333333,53.666666666666664,42.666666666666664,2.4444444444444446
shumpte01,14,854,1969,295,497,313,109,26,0.252412392,0.408836973,49,223,0.316559927,85,29,166,369,5,24,32,22,33,Terry Shumpert,N,190.0,71.0,3,2,5/1/1990,9/28/2003,shumt001,shumpte01,35.5,21.071428571428573,15.928571428571429,3.5
shupevi01,1,78,283,22,76,68,8,0,0.268551237,0.296819788,0,15,0.312292359,3,0,17,16,0,1,4,0,8,Vince Shupe,N,180.0,71.0,2,1,7/7/1945,9/30/1945,shupv101,shupevi01,76.0,22.0,15.0,0.0
sickied01,9,203,597,51,135,120,13,2,0.226130653,0.254606365,0,59,0.276995305,14,5,39,43,0,3,15,0,0,Ed Sicking,N,165.0,69.0,3,2,8/26/1916,5/3/1927,sicke101,sickied01,19.285714285714285,7.285714285714286,8.428571428571429,0.0
siddajo01,4,73,142,7,24,18,5,0,0.169014085,0.225352113,1,11,0.248407643,0,0,13,41,1,1,2,0,1,Joe Siddall,N,200.0,73.0,2,2,7/28/1993,9/26/1998,siddj001,siddajo01,6.0,1.75,2.75,0.25
siebedi01,13,1035,3917,439,1104,828,204,40,0.281848353,0.378861374,32,482,0.331511407,30,32,276,185,0,15,43,0,71,Dick Siebert,N,170.0,72.0,2,1,9/7/1932,9/23/1945,siebd102,siebedi01,92.0,36.583333333333336,40.166666666666664,2.6666666666666665
siebeno01,14,1406,4481,662,1217,841,206,38,0.271591163,0.422896675,132,636,0.374386097,18,25,708,748,47,10,20,48,64,Norm Siebern,N,200.0,74.0,2,2,6/15/1956,7/30/1968,siebn101,siebeno01,93.61538461538461,50.92307692307692,48.92307692307692,10.153846153846153
siefkfr01,1,16,58,1,8,6,2,0,0.137931034,0.172413793,0,3,0.206349206,2,0,5,0,0,0,0,0,0,Fred Siefke,N,168.0,71.0,0,0,1890-05-02,1890-06-01,sieff101,siefkfr01,8.0,1.0,3.0,0.0
