playerID,inducted,weight,height,bats,throws,Sum of W,Sum of L,Sum of G,Average of ERA,Sum of GS,Sum of CG,Sum of SHO,Sum of SV,Sum of IPouts,Sum of ER,Sum of H,Sum of HR,Sum of BB,Sum of SO,Sum of BAOpp,Sum of IBB,Sum of WP,Sum of HBP,Sum of BK,Sum of BFP,Sum of GF,Sum of R,Sum of SH,Sum of SF,Sum of GIDP,GS_per_year,CG_per_year,SHO_per_year,SV_per_year,IPouts_per_year,ER_per_year,H_per_year,HR_per_year,BB_per_year,SO_per_year,BAOpp_per_year,IBB_per_year,WP_per_year,HBP_per_year,BK_per_year,BFP_per_year,GF_per_year,R_per_year,SH_per_year,SF_per_year,GIDP_per_year
package01,N,155.0,70.0,L,L,85,69,248,3.915555556,153,86,15,17,4231,472,1393,28,356,488,21.9,,16.0,35.0,1,5805.0,74.0,602,,,,21.857142857142858,12.285714285714286,2.142857142857143,2.4285714285714284,604.4285714285714,67.42857142857143,199.0,4.0,50.857142857142854,69.71428571428571,3.1285714285714286,,2.2857142857142856,5.0,0.14285714285714285,829.2857142857143,10.571428571428571,86.0,,,
pearcge01,N,175.0,70.0,L,L,36,27,103,3.37,60,27,5,1,1529,176,445,8,217,260,1.36,,16.0,11.0,0,2151.0,30.0,250,,,,12.0,5.4,1.0,0.2,305.8,35.2,89.0,1.6,43.4,52.0,0.272,,3.2,2.2,0.0,430.2,6.0,50.0,,,
perripo01,N,168.0,74.0,R,R,92,78,256,3.483636364,177,93,23,8,4409,472,1416,41,390,543,3.0,,16.0,53.0,4,6079.0,52.0,604,,,,19.666666666666668,10.333333333333334,2.5555555555555554,0.8888888888888888,489.8888888888889,52.44444444444444,157.33333333333334,4.555555555555555,43.333333333333336,60.333333333333336,0.3333333333333333,,1.7777777777777777,5.888888888888889,0.4444444444444444,675.4444444444445,5.777777777777778,67.11111111111111,,,
peterru01,N,195.0,73.0,R,R,7,8,39,3.98,14,5,0,0,439,66,186,3,49,52,10.29,,3.0,6.0,1,473.0,18.0,99,,,,7.0,2.5,0.0,0.0,219.5,33.0,93.0,1.5,24.5,26.0,5.145,,1.5,3.0,0.5,236.5,9.0,49.5,,,
prougbi01,N,185.0,75.0,R,R,0,0,1,6.0,0,0,0,0,9,2,7,0,1,0,0.53,,0.0,0.0,0,15.0,0.0,5,,,,,,,,inf,inf,inf,,inf,,inf,,,,,inf,,inf,,,
reddiph01,N,190.0,71.0,L,R,2,1,4,5.86,3,2,0,0,84,16,33,2,12,10,0.59,,0.0,0.0,0,122.0,0.0,19,,,,3.0,2.0,0.0,0.0,84.0,16.0,33.0,2.0,12.0,10.0,0.59,,0.0,0.0,0.0,122.0,0.0,19.0,,,
remneal01,N,180.0,73.0,R,R,0,0,3,14.25,0,0,0,0,23,6,8,0,3,5,0.58,,0.0,1.0,0,37.0,2.0,9,,,,0.0,0.0,0.0,0.0,7.666666666666667,2.0,2.6666666666666665,0.0,1.0,1.6666666666666667,0.19333333333333333,,0.0,0.3333333333333333,0.0,12.333333333333334,0.6666666666666666,3.0,,,
ritteha01,N,180.0,72.0,R,R,4,1,29,2.565,2,0,0,2,232,34,78,4,24,43,0.84,,4.0,6.0,0,337.0,18.0,44,,,,0.5,0.0,0.0,0.5,58.0,8.5,19.5,1.0,6.0,10.75,0.21,,1.0,1.5,0.0,84.25,4.5,11.0,,,
salmoro01,N,170.0,74.0,L,L,1,0,2,9.0,1,0,0,0,15,5,7,0,4,5,0.31,,0.0,0.0,0,26.0,0.0,5,,,,inf,,,,inf,inf,inf,,inf,inf,inf,,,,,inf,,inf,,,
schegle01,N,180.0,71.0,L,L,0,0,2,3.38,1,0,0,0,16,2,7,0,4,3,0.33,,1.0,0.0,0,25.0,1.0,5,,,,inf,,,,inf,inf,inf,,inf,inf,inf,,inf,,,inf,inf,inf,,,
schulal01,N,182.0,72.0,R,L,47,62,160,3.38,110,56,5,4,2800,344,867,19,409,445,20.91,,22.0,20.0,3,3876.0,33.0,435,,,,27.5,14.0,1.25,1.0,700.0,86.0,216.75,4.75,102.25,111.25,5.2275,,5.5,5.0,0.75,969.0,8.25,108.75,,,
seatoto01,N,175.0,72.0,B,R,93,65,231,3.078571429,154,90,15,11,4020,468,1235,30,530,644,30.91,,34.0,42.0,0,4473.0,60.0,609,,,,30.8,18.0,3.0,2.2,804.0,93.6,247.0,6.0,106.0,128.8,6.182,,6.8,8.4,0.0,894.6,12.0,121.8,,,
shearge01,N,180.0,75.0,R,L,0,0,4,5.4,0,0,0,0,45,9,24,1,11,9,0.36,,0.0,0.0,0,77.0,4.0,18,,,,,,,,inf,inf,inf,inf,inf,inf,inf,,,,,inf,inf,inf,,,
shoreer01,N,220.0,76.0,R,R,65,43,160,6.361428571,121,56,9,5,2938,269,906,12,270,309,2.18,,16.0,27.0,3,3987.0,23.0,373,,,,15.125,7.0,1.125,0.625,367.25,33.625,113.25,1.5,33.75,38.625,0.2725,,2.0,3.375,0.375,498.375,2.875,46.625,,,
smithdo01,N,168.0,70.0,L,L,0,0,1,3.0,0,0,0,0,9,1,4,0,0,1,0.36,,0.0,0.0,0,11.0,1.0,1,,,,,,,,inf,inf,inf,,,inf,inf,,,,,inf,inf,inf,,,
smithha05,N,160.0,69.0,R,R,1,0,1,1.8,1,0,0,0,15,1,6,0,0,1,0.33,,0.0,0.0,0,18.0,0.0,1,,,,inf,,,,inf,inf,inf,,,inf,inf,,,,,inf,,inf,,,
sommeru01,N,165.0,71.0,B,L,2,8,33,7.23,8,2,0,2,303,54,113,4,53,44,11.0,,3.0,3.0,0,445.0,14.0,75,,,,0.5333333333333333,0.13333333333333333,0.0,0.13333333333333333,20.2,3.6,7.533333333333333,0.26666666666666666,3.533333333333333,2.933333333333333,0.7333333333333333,,0.2,0.2,0.0,29.666666666666668,0.9333333333333333,5.0,,,
spencha01,N,172.0,67.0,R,R,0,0,1,0.0,0,0,0,0,5,0,2,0,0,0,0.28,,0.0,0.0,0,7.0,1.0,2,,,,,,,,inf,,inf,,,,inf,,,,,inf,inf,inf,,,
steenbi01,N,180.0,72.0,R,R,28,32,108,3.3,65,31,4,6,1791,202,611,7,199,265,1.34,,13.0,12.0,2,2458.0,21.0,266,,,,21.666666666666668,10.333333333333334,1.3333333333333333,2.0,597.0,67.33333333333333,203.66666666666666,2.3333333333333335,66.33333333333333,88.33333333333333,0.4466666666666667,,4.333333333333333,4.0,0.6666666666666666,819.3333333333334,7.0,88.66666666666667,,,
taylobe01,N,163.0,71.0,R,R,0,0,2,3.18,0,0,0,0,17,2,9,0,3,2,0.36,,0.0,1.0,0,30.0,1.0,7,,,,,,,,inf,inf,inf,,inf,inf,inf,,,inf,,inf,inf,inf,,,
tesreje01,N,218.0,74.0,R,R,115,72,247,2.445714286,206,123,27,9,5037,453,1350,37,572,880,1.54,,42.0,38.0,3,6805.0,26.0,591,,,,34.333333333333336,20.5,4.5,1.5,839.5,75.5,225.0,6.166666666666667,95.33333333333333,146.66666666666666,0.25666666666666665,,7.0,6.333333333333333,0.5,1134.1666666666667,4.333333333333333,98.5,,,
thompto01,N,170.0,69.0,R,R,0,2,7,6.06,2,1,0,0,98,22,43,0,13,15,0.34,,2.0,3.0,1,142.0,5.0,32,,,,inf,inf,,,inf,inf,inf,,inf,inf,inf,,inf,inf,inf,inf,inf,inf,,,
tompkch01,N,185.0,72.0,R,R,0,0,1,0.0,0,0,0,0,9,0,5,0,0,1,0.35,,0.0,0.0,0,14.0,1.0,1,,,,,,,,inf,,inf,,,inf,inf,,,,,inf,inf,inf,,,
traveal01,N,180.0,73.0,R,R,0,1,1,15.75,1,1,0,0,24,14,26,0,7,1,0.6,,0.0,0.0,0,50.0,0.0,24,,,,inf,inf,,,inf,inf,inf,,inf,inf,inf,,,,,inf,,inf,,,
troybu01,N,195.0,76.0,R,R,0,1,1,5.4,1,0,0,0,20,4,9,0,3,1,0.34,,0.0,1.0,0,30.0,0.0,4,,,,inf,,,,inf,inf,inf,,inf,inf,inf,,,inf,,inf,,inf,,,
vernojo01,N,160.0,71.0,R,R,0,0,2,11.025,1,0,0,0,22,9,8,0,11,1,10.27,,2.0,1.0,0,21.0,1.0,10,,,,0.5,0.0,0.0,0.0,11.0,4.5,4.0,0.0,5.5,0.5,5.135,,1.0,0.5,0.0,10.5,0.5,5.0,,,
walkero01,N,180.0,73.0,R,R,17,27,91,3.256666667,49,17,0,5,1158,171,408,13,155,148,1.41,,13.0,9.0,3,1641.0,26.0,218,,,,4.9,1.7,0.0,0.5,115.8,17.1,40.8,1.3,15.5,14.8,0.141,,1.3,0.9,0.3,164.1,2.6,21.8,,,
wallahu01,N,160.0,66.0,L,L,0,0,4,0.0,0,0,0,0,14,0,7,0,4,4,0.35,,1.0,0.0,0,24.0,3.0,5,,,,,,,,inf,,inf,,inf,inf,inf,,inf,,,inf,inf,inf,,,
warneed01,N,165.0,70.0,R,L,1,1,11,3.6,3,1,1,0,135,18,40,0,18,13,0.24,,1.0,3.0,0,189.0,4.0,20,,,,inf,inf,inf,,inf,inf,inf,,inf,inf,inf,,inf,inf,,inf,inf,inf,,,
weilmca01,N,187.0,77.0,L,L,85,95,239,2.64875,179,105,15,10,4563,451,1394,22,418,536,1.98,,27.0,32.0,9,6017.0,49.0,600,,,,22.375,13.125,1.875,1.25,570.375,56.375,174.25,2.75,52.25,67.0,0.2475,,3.375,4.0,1.125,752.125,6.125,75.0,,,
wheatch01,N,174.0,71.0,R,R,1,4,5,6.17,5,2,0,0,105,24,45,1,17,14,0.33,,6.0,2.0,0,155.0,0.0,27,,,,inf,inf,,,inf,inf,inf,inf,inf,inf,inf,,inf,inf,,inf,,inf,,,
whitest01,N,160.0,70.0,R,R,0,0,4,3.0,0,0,0,0,20,4,11,1,5,3,1.08,,1.0,1.0,0,32.0,3.0,7,,,,,,,,inf,inf,inf,inf,inf,inf,inf,,inf,inf,,inf,inf,inf,,,
wolfer01,N,174.0,71.0,R,R,0,0,1,6.35,0,0,0,0,17,4,8,0,4,1,0.34,,0.0,0.0,0,27.0,0.0,6,,,,,,,,inf,inf,inf,,inf,inf,inf,,,,,inf,,inf,,,
ainsmed01,N,180.0,71.0,R,R,0,0,1,54.0,0,0,0,0,1,2,2,0,0,0,0.66,,0.0,0.0,0,3.0,0.0,2,,,,0.0,0.0,0.0,0.0,0.07142857142857142,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0,0.047142857142857146,,0.0,0.0,0.0,0.21428571428571427,0.0,0.14285714285714285,,,
ayersdo01,N,185.0,73.0,R,R,65,79,299,3.352,140,58,17,15,4286,451,1357,23,382,622,2.72,,14.0,50.0,5,5702.0,109.0,612,,,,17.5,7.25,2.125,1.875,535.75,56.375,169.625,2.875,47.75,77.75,0.34,,1.75,6.25,0.625,712.75,13.625,76.5,,,
bentlja01,N,200.0,71.0,L,L,46,33,138,2.742,89,39,4,9,2142,318,761,37,263,259,1.96,,8.0,15.0,1,3044.0,32.0,365,,,,6.357142857142857,2.7857142857142856,0.2857142857142857,0.6428571428571429,153.0,22.714285714285715,54.357142857142854,2.642857142857143,18.785714285714285,18.5,0.13999999999999999,,0.5714285714285714,1.0714285714285714,0.07142857142857142,217.42857142857142,2.2857142857142856,26.071428571428573,,,
boardch01,N,194.0,74.0,L,R,1,2,7,2.776666667,3,2,0,0,106,9,32,0,25,13,0.82,,2.0,2.0,0,150.0,4.0,14,,,,1.5,1.0,0.0,0.0,53.0,4.5,16.0,0.0,12.5,6.5,0.41,,1.0,1.0,0.0,75.0,2.0,7.0,,,
bohenpa01,N,155.0,70.0,R,R,0,1,2,9.565,1,1,0,0,27,3,5,0,4,5,0.61,,1.0,1.0,0,35.0,1.0,3,,,,1.0,1.0,0.0,0.0,27.0,3.0,5.0,0.0,4.0,5.0,0.61,,1.0,1.0,0.0,35.0,1.0,3.0,,,
brently01,N,165.0,70.0,R,R,5,12,34,5.3275,15,4,1,2,394,58,161,1,41,52,1.27,,0.0,3.0,2,569.0,15.0,82,,,,1.875,0.5,0.125,0.25,49.25,7.25,20.125,0.125,5.125,6.5,0.15875,,0.0,0.375,0.25,71.125,1.875,10.25,,,
cathete01,N,178.0,70.0,R,R,0,0,1,54.0,0,0,0,0,1,2,1,0,2,0,0.5,,0.0,1.0,0,5.0,0.0,2,,,,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666,0.0,0.16666666666666666,,0.0,0.3333333333333333,0.0,1.6666666666666667,0.0,0.6666666666666666,,,
chanees01,N,170.0,71.0,R,R,0,0,2,7.875,0,0,0,0,15,4,8,0,4,1,10.19,,0.0,0.0,0,7.0,2.0,4,,,,0.0,0.0,0.0,0.0,15.0,4.0,8.0,0.0,4.0,1.0,10.19,,0.0,0.0,0.0,7.0,2.0,4.0,,,
clarkge01,N,190.0,72.0,R,L,0,1,11,9.0,1,0,0,0,57,19,22,1,19,5,0.27,,2.0,3.0,0,103.0,8.0,23,,,,inf,,,,inf,inf,inf,inf,inf,inf,inf,,inf,inf,,inf,inf,inf,,,
clausal01,N,178.0,70.0,R,L,0,1,5,4.73,1,0,0,0,40,7,11,0,12,1,0.22,,0.0,2.0,0,64.0,3.0,9,,,,inf,,,,inf,inf,inf,,inf,inf,inf,,,inf,,inf,inf,inf,,,
cocrege01,N,192.0,75.0,R,R,3,5,17,5.933333333,4,1,0,0,164,32,64,2,31,18,1.08,,2.0,1.0,0,243.0,10.0,39,,,,2.0,0.5,0.0,0.0,82.0,16.0,32.0,1.0,15.5,9.0,0.54,,1.0,0.5,0.0,121.5,5.0,19.5,,,
comstra01,N,168.0,70.0,R,R,11,14,40,3.405,22,10,0,4,609,84,222,5,39,100,10.87,,4.0,4.0,1,840.0,13.0,116,,,,4.4,2.0,0.0,0.8,121.8,16.8,44.4,1.0,7.8,20.0,2.174,,0.8,0.8,0.2,168.0,2.6,23.2,,,
conzejo01,N,170.0,72.0,R,R,6,8,54,2.52,12,5,1,2,490,53,142,2,65,70,0.73,,3.0,7.0,0,663.0,29.0,61,,,,6.0,2.5,0.5,1.0,245.0,26.5,71.0,1.0,32.5,35.0,0.365,,1.5,3.5,0.0,331.5,14.5,30.5,,,
culloni01,N,172.0,71.0,L,L,57,55,174,3.68,121,62,9,5,3072,311,973,24,259,400,21.51,,21.0,29.0,1,4168.0,32.0,424,,,,15.125,7.75,1.125,0.625,384.0,38.875,121.625,3.0,32.375,50.0,2.68875,,2.625,3.625,0.125,521.0,4.0,53.0,,,
dashnle01,N,192.0,71.0,B,L,0,0,1,5.4,0,0,0,0,5,1,0,0,0,2,0.0,,1.0,0.0,0,5.0,1.0,1,,,,,,,,inf,inf,,,,inf,,,inf,,,inf,inf,inf,,,
dawsore01,N,185.0,72.0,L,R,0,0,1,0.0,0,0,0,0,3,0,1,0,0,1,0.25,,0.0,0.0,0,4.0,0.0,0,,,,,,,,inf,,inf,,,inf,inf,,,,,inf,,,,,
