playerID,num_years,stint,G,AB,R,H,1B,2B,3B,AVG,SLG,HR,RBI,OBP,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,Full Name,inducted,weight,height,bats,throws,debut,finalGame,retroID,bbrefID
jelinfr01,1,1,4,8,0,1,1,0,0,0.125,0.125,0,2,0.222222222,0,0,1,2,0,0,0,0,0,Frank Jelincich,N,198,74,R,R,9/6/1941,9/25/1941,jelif101,jelinfr01
jelksgr01,1,1,10,11,2,1,0,1,0,0.090909091,0.181818182,0,0,0.285714286,0,0,3,4,0,0,0,0,0,Greg Jelks,N,189,74,R,R,8/20/1987,10/3/1987,jelkg001,jelksgr01
jeltzst01,8,8,727,1749,183,367,296,46,20,0.209834191,0.267581475,5,130,0.318783718,18,10,248,342,32,3,34,7,53,Steve Jeltz,N,180,71,B,R,7/17/1983,10/3/1990,jelts001,jeltzst01
jenkige01,11,11,1349,4700,688,1293,747,303,22,0.275106383,0.49,221,733,0.353603604,32,14,418,1186,77,96,3,37,113,Geoff Jenkins,N,205,73,L,R,4/24/1998,9/28/2008,jenkg001,jenkige01
jenkijo01,3,3,40,60,0,8,5,2,1,0.133333333,0.2,0,3,0.161290323,3,0,2,17,0,0,1,0,0,Joe Jenkins,N,170,71,R,R,4/30/1914,9/27/1919,jenkj102,jenkijo01
jenkijo02,1,1,5,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,John Jenkins,N,160,68,R,R,8/5/1922,8/23/1922,jenkj103,jenkijo02
jenkito01,7,8,171,459,42,119,96,14,6,0.259259259,0.335511983,3,44,0.303278689,1,3,28,53,0,1,8,0,0,Tom Jenkins,N,174,73,L,R,9/15/1925,6/26/1932,jenkt101,jenkito01
jennial01,1,1,1,2,0,0,0,0,0,0,0,0,0,0.333333333,0,0,1,0,0,0,0,0,0,Alamazoo Jennings,N,,,,,1878-08-15,1878-08-15,jenna101,jennial01
jennibi01,1,1,64,195,20,35,23,10,2,0.179487179,0.251282051,0,13,0.2760181,1,0,26,42,0,0,3,0,4,Bill Jennings,N,175,74,R,R,7/19/1951,9/30/1951,jennb101,jennibi01
jennido01,5,5,189,322,36,65,41,16,3,0.201863354,0.316770186,5,37,0.304232804,0,5,43,90,1,6,3,6,3,Doug Jennings,N,175,70,L,L,4/8/1988,9/26/1993,jennd001,jennido01
jenniro01,6,9,93,213,22,52,33,14,2,0.244131455,0.370892019,3,24,0.281938326,1,0,10,31,1,1,0,2,1,Robin Jennings,N,205,74,L,L,4/18/1996,10/7/2001,jennr001,jenniro01
jensema01,9,11,145,343,33,63,40,16,1,0.183673469,0.288629738,6,29,0.293969849,0,1,50,106,4,0,3,1,10,Marcus Jensen,N,195,76,B,R,4/14/1996,6/23/2002,jensm001,jensema01
jensewo01,9,9,738,2720,392,774,597,114,37,0.284558824,0.382352941,26,235,0.306733167,20,0,69,100,0,18,62,0,55,Woody Jensen,N,160,70,L,L,4/20/1931,6/4/1939,jensw102,jensewo01
jesseda01,1,1,1,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!,0,0,0,0,0,0,0,0,0,Dan Jessee,N,165,70,L,R,8/14/1929,8/14/1929,jessd101,jesseda01
jestaga01,4,5,176,454,33,118,93,18,1,0.259911894,0.343612335,6,36,0.298755187,1,3,24,45,2,0,13,2,14,Garry Jestadt,N,188,74,R,R,9/17/1969,10/4/1972,jestg101,jestaga01
jeterde01,20,20,2747,11195,1923,3465,2595,544,66,0.309513176,0.439571237,260,1311,0.379145408,358,97,1082,1840,39,170,97,58,287,Derek Jeter,N,195,75,R,R,5/29/1995,9/28/2014,jeted001,jeterde01
jeterjo01,6,6,336,873,108,213,158,27,10,0.243986254,0.359679267,18,69,0.287862513,28,16,46,237,6,3,4,3,19,Johnny Jeter,N,180,73,R,R,6/14/1969,9/14/1974,jetej101,jeterjo01
jetersh01,1,1,13,18,1,2,2,0,0,0.111111111,0.111111111,0,0,0.111111111,0,0,0,7,0,0,0,0,0,Shawn Jeter,N,185,74,L,R,6/13/1992,10/4/1992,jetes001,jetersh01
jethrsa01,4,4,442,1763,280,460,306,80,25,0.260918888,0.418037436,49,181,0.336895674,98,14,177,293,0,25,10,0,23,Sam Jethroe,N,178,73,B,R,4/18/1950,4/15/1954,jeths101,jethrsa01
jewetna01,1,1,2,8,1,1,1,0,0,0.125,0.125,0,0,0.125,0,0,0,0,0,0,0,0,0,Nat Jewett,N,137,69,,,1872-07-04,1872-07-06,jewen101,jewetna01
jimenel01,1,1,1,6,0,2,2,0,0,0.333333333,0.333333333,0,0,0.333333333,0,0,0,0,0,0,0,0,0,Elvio Jimenez,N,170,69,R,R,10/4/1964,10/4/1964,jimee101,jimenel01
jimenho01,4,4,158,411,34,76,58,16,2,0.184914842,0.233576642,0,29,0.220689655,0,2,20,49,0,0,3,4,8,Houston Jimenez,N,144,68,R,R,6/13/1983,9/12/1988,jimeh001,jimenho01
jimenlu01,1,1,7,17,0,1,1,0,0,0.058823529,0.058823529,0,0,0.111111111,0,0,1,4,0,0,0,0,0,Luis Jimenez,N,280,75,L,L,9/4/2012,9/23/2012,jimel001,jimenlu01
jimenma01,7,7,429,1003,90,273,200,43,4,0.27218345,0.400797607,26,144,0.340482574,0,2,75,97,6,27,3,8,40,Manny Jimenez,N,185,73,L,R,4/11/1962,5/27/1969,jimem101,jimenma01
jimerch01,4,4,31,9,8,4,2,0,0,0.444444444,1.111111111,2,2,0.444444444,4,0,0,3,0,0,0,0,1,Charlton Jimerson,N,210,75,R,R,9/14/2005,4/10/2008,jimec001,jimerch01
johjike01,4,4,462,1609,166,431,298,84,1,0.267868241,0.41081417,48,198,0.31126597,7,5,66,148,2,37,2,8,53,Kenji Johjima,N,205,72,R,R,4/3/2006,10/3/2009,johjk001,johjike01
johnsab02,2,2,73,248,26,59,49,8,2,0.237903226,0.286290323,0,37,0.289473684,2,0,17,6,0,1,3,0,0,Abbie Johnson,N,165,69,,,1896-09-01,1897-08-12,johna105,johnsab02
